ts(ms),x(cm),y(cm),phi(degrees),v(m/s),lookAhead,lookAheadX(cm),lookAheadY(cm)
107.993,496.0,488.0,48.36646066342981,2,7,504,497
206.415,509.0776035490637,502.7123039926966,57.91012631864462,2.0,8,545,560
304.326,519.4806248367706,519.3026537457162,57.91012631864459,2,8,545,560
402.463,529.9076585726298,535.9312976540828,57.910126318644686,2,8,545,560
500.62,540.3368173039005,552.5633304257544,17.341338424430813,2.0,9,625,579
599.086,559.1348825427173,558.4331574689635,17.34133842443078,2,9,625,579
696.952,577.8184022618289,564.2672168743491,17.34133842443074,2,9,625,579
795.228,596.5801947527391,570.125717498914,17.341338424430695,2,9,625,579
893.015,615.2486326450895,575.9550674986527,-11.894025622519559,2.0,10,691,560
991.986,634.617860696455,571.875440268844,-11.894025622519553,2,10,691,560
1090.382,653.8745577424802,567.819514786589,-11.894025622519488,2,10,691,560
1188.865,673.1482812188787,563.7600031268782,-35.23948430130034,2,11,745,513
1287.484,689.2576449069446,552.3794632448859,-35.23948430130029,8,11,745,513
1386.034,753.6500151990349,506.8891538574312,-58.819006477921654,8.0,12,779,465
1484.909,794.6035050588515,439.21625183378586,-55.73615660615578,8.0,13,822,399
1583.023,838.7944137537542,374.34690571284233,-31.332486881896923,8.0,14,887,345
1680.954,905.7137312059265,333.6073347924781,-4.561312103887807,8.0,15,976,328
1779.697,984.4579404606906,327.3252379926883,5.103385291155243,8.0,16,1048,333
1877.307,1062.2363849012293,334.2714113572127,45.65433856930325,8.0,17,1104,377
1975.597,1117.1990071858963,390.5039782165782,103.78429216286573,8.0,18,1108,428
2073.999,1098.4422312832824,466.95836765432813,131.51315067323307,8.0,19,1063,507
2172.25,1046.3462551171092,525.8149308221986,125.79147625920866,8.0,20,1008,579
2271.009,1000.1399206028294,589.9016868845432,29.310922813870867,8.0,21,1068,628
2369.012,1068.5049287010547,628.2834793581833,0.6675616461680447,8.0,22,1130,629
2467.047,1146.9276054895686,629.1972349733663,37.17167320698032,8.0,23,1177,652
2565.344,1209.5883045796782,676.710484949544,4.771159357446879,8.0,24,1249,680
2663.074,1287.5013855604473,683.2135356247372,6.945766914995505,8.0,25,1335,689
2762.279,1366.2829380783205,692.8110081500191,-36.20973357195328,8.0,26,1407,663
2860.274,1429.5375320284284,646.4991396905518,-50.96147266987532,8.0,27,1464,604
