ts(ms),x(cm),y(cm),phi(degrees),v(m/s),lookAhead,lookAheadX(cm),lookAheadY(cm)
108.164,103.0,504.0,-55.35905248808371,8.24558417366284,0,141,449
206.149,148.9260871617061,437.5280317396359,-49.900548203019255,7.738250836631822,1,194,384
304.118,197.7571048362448,379.5382079287159,-33.96434869515025,7.224252941397471,2,252,343
402.605,256.76745846999034,339.78862294606245,-12.351878962991073,6.40556764501229,3,338,322
500.493,318.0188519333392,326.3755507619562,-12.351878962991083,6.298978813607285,3,338,322
598.944,378.5974440074222,313.1098112847408,34.68898119381765,5.801094481075738,4,403,330
697.241,425.4848208552082,345.56283151604174,54.24566782630314,4.892840120358169,5,451,381
795.451,453.56247490470656,384.55893464116787,62.294995840112705,5.007941708996522,6,479,433
893.523,476.3964719760163,428.04206204413015,62.29499584011304,4.386977854943018,6,479,433
991.081,496.29431380950706,465.933824436305,76.06944343568671,4.122380137343026,7,504,497
1090.064,506.11783519155136,505.5382454267189,54.47562179664249,3.5841757853970986,8,545,560
1188.866,526.6941698301212,534.3592561040872,54.47562179664245,3.5031119177563275,8,545,560
1286.828,546.6341458918291,562.2889274024782,12.037696502234093,2.9313943475665316,9,625,579
1386.15,575.1091151077911,568.3610526054182,12.037696502234027,2.7565347400356095,9,625,579
1484.826,601.7113771724921,574.0338336614109,12.03769650223397,3.693583551587671,9,625,579
1582.626,637.0402957078082,581.5675245674103,-21.78643513243112,4.442748180913119,10,691,560
1680.904,677.5840906961347,565.3622968713549,-21.78643513243077,5.3745523235113,10,691,560
1779.204,726.6423577196898,545.7538614074456,-60.73056369131525,5.687898011065099,11,745,513
1877.883,754.0841103801142,496.7920530394401,-51.9136899606123,5.856436285497761,12,779,465
1975.731,789.4319941378908,451.68903595261344,-58.27907070532712,6.14735519551723,13,822,399
2073.633,821.075596588979,400.4955144863403,-40.09085152114207,5.973601843248094,14,887,345
2172.672,866.3359264213622,362.3951273776471,-40.090851521142184,6.585871391030579,14,887,345
2270.683,915.7173108539192,320.8256145214354,6.78698295486981,6.638037825872316,15,976,328
2369.07,980.5693084895685,328.5438042154225,3.7809265784384505,6.549361872784906,16,1048,333
2467.26,1044.737524359883,332.7843974328436,36.72653840554922,6.7064457459334665,17,1104,377
2565.291,1097.4312246658294,372.09905118894477,79.29388288705282,6.707268677897951,18,1108,428
2663.797,1109.705264442997,437.01957864778126,123.71933392972048,6.714965457111108,19,1063,507
2762.157,1073.040137605554,491.956448305127,123.71933392972005,15.0,19,1063,507
2860.214,991.3892801409188,614.2972909764925,10.140777668167145,15.0,21,1068,628
2958.453,1136.4457635355059,640.2423126077397,16.168195612681163,15.0,23,1177,652
